zip,population,median income
84531,642,18571
84536,1454,23854
85003,9369,33244
85004,4965,25552
85006,25742,21006
85007,14040,30618
85008,56145,32003
85009,52520,24587
85012,6390,51637
85013,19314,45707
85014,24782,42003
85015,37644,31858
85016,33896,42935
85017,38872,29458
85018,36065,52322
85019,25042,34909
85020,32850,49925
85021,37743,39633
85022,46395,48905
85023,31274,48076
85024,22898,61548
85027,37140,51198
85028,19157,82375
85029,43233,45026
85031,30493,27474
85032,65485,48345
85033,53037,33742
85034,5582,17815
85035,47486,32963
85037,44771,49159
85040,29352,30945
85041,54947,42865
85042,40962,48182
85043,30560,42422
85044,37993,67938
85045,7238,110870
85048,33449,91490
85050,25736,76951
85051,40375,38913
85053,28480,47207
85054,5384,65000
85083,18104,107646
85085,17517,80962
85086,40495,78574
85087,7708,79444
85118,12246,61011
85119,21219,46369
85120,28168,34033
85121,2178,29565
85122,50942,44838
85123,10677,42778
85128,14823,43072
85131,18017,31006
85132,33556,47688
85135,630,29688
85137,2329,44397
85138,33633,63184
85139,17979,58373
85140,36711,55392
85141,515,29886
85142,48870,74631
85143,35015,61922
85145,2106,55667
85147,4543,28702
85172,1368,35727
85173,2872,39222
85192,2120,35000
85193,4906,43750
85194,6721,54653
85201,46092,34852
85202,37275,43351
85203,35541,46527
85204,60885,44278
85205,39858,43513
85206,33154,45608
85207,44744,65362
85208,34762,45270
85209,37377,55870
85210,36464,39729
85212,24492,77719
85213,31797,59718
85215,15963,58066
85224,42796,62165
85225,69810,56494
85226,37376,74035
85233,37564,80135
85234,50014,76382
85248,29821,67402
85249,36908,98664
85250,15906,61897
85251,34390,48273
85253,17047,117793
85254,45801,90341
85255,37270,109087
85256,4974,31705
85257,26755,49330
85258,23342,69640
85259,21422,96447
85260,36056,77308
85262,11275,128947
85263,2111,106429
85264,1249,56071
85266,11406,99855
85268,22684,75854
85281,57348,31902
85282,48671,49440
85283,44813,53454
85284,16479,120633
85286,38930,82036
85295,38332,84489
85296,36799,83418
85297,26979,81142
85298,21479,80718
85301,60161,29458
85302,36909,46862
85303,30310,51516
85304,25883,65000
85305,10822,65721
85306,24191,55572
85307,9230,45564
85308,63876,69542
85310,19007,87973
85320,1197,33098
85321,4435,27796
85322,752,44327
85323,39507,46922
85324,2886,35810
85325,1212,27281
85326,51705,60446
85328,259,54167
85331,26960,90921
85332,2146,36250
85333,790,35000
85334,1482,29125
85335,31787,47095
85336,700,29708
85337,2793,32105
85338,41115,70552
85339,35586,64673
85340,26262,75400
85342,1578,40708
85343,196,68906
85344,9147,33013
85345,56208,46574
85346,4423,41629
85347,716,34800
85348,2786,32064
85349,25517,31074
85350,21214,31279
85351,27789,35344
85352,461,20000
85353,31011,49886
85354,6645,60192
85355,8745,72070
85356,4539,38859
85357,761,28800
85360,222,26250
85361,6700,45824
85362,663,28636
85363,6156,36960
85364,74904,38550
85365,46558,50720
85367,20429,51907
85371,419,23409
85373,17356,50952
85374,47146,51576
85375,27703,48391
85377,3051,74559
85379,39732,70490
85381,24249,67532
85382,40454,65542
85383,37182,100877
85387,9573,59493
85388,23490,67134
85390,8621,40515
85392,35310,65155
85395,25922,74651
85396,12163,71117
85501,13345,35199
85530,2069,23281
85531,623,49219
85533,2943,44583
85534,2588,35139
85536,408,28940
85539,4520,39936
85540,2874,59746
85541,21877,39856
85542,3196,26313
85543,3822,45407
85544,2949,44833
85545,583,28781
85546,19677,43182
85550,4790,28608
85551,405,52150
85552,6218,58333
85553,1501,36719
85554,778,30729
85601,698,34274
85602,9464,37773
85603,7155,33067
85605,597,37500
85606,1184,34766
85607,18925,28069
85609,392,56327
85610,1333,41131
85611,965,50144
85613,5601,51679
85614,21895,47625
85615,9413,53840
85616,5566,45805
85617,1277,35060
85618,1725,38603
85619,50,-
85620,897,35938
85621,23054,28308
85622,6325,56515
85623,4073,57645
85624,1426,41328
85625,1983,33731
85626,1021,14219
85627,968,37222
85629,23568,67879
85630,2819,38929
85631,3630,38668
85632,835,41184
85633,54,22000
85634,6490,28076
85635,34727,51076
85637,1268,67656
85638,1973,26729
85640,441,41250
85641,21753,81452
85643,9810,43951
85645,2231,50761
85646,1311,60052
85648,19080,47920
85650,15279,78945
85653,15083,53205
85654,97,9050
85658,7790,81146
85701,4983,30121
85704,30929,55158
85705,57521,24477
85706,55209,29142
85707,658,45216
85708,2980,50266
85710,54439,42788
85711,41251,35091
85712,32666,32007
85713,50151,33232
85714,15009,25912
85715,17702,54016
85716,32853,32510
85718,27367,75705
85719,43989,26907
85730,38323,49271
85735,11250,49655
85736,4975,41125
85737,20727,82768
85739,17848,57869
85741,32998,53943
85742,25212,68189
85743,29144,70449
85745,37006,51610
85746,43057,41113
85747,23058,80763
85748,18087,69368
85749,19032,81824
85750,24161,78856
85755,15107,67077
85756,35703,47446
85757,16988,50865
85901,17207,38027
85911,1800,17083
85920,464,38750
85922,41,73750
85923,621,37303
85924,2683,34506
85925,4893,52584
85926,265,53333
85927,176,37279
85928,1102,29635
85929,8322,46014
85930,1086,49107
85931,207,40250
85932,364,20926
85933,3033,43139
85934,574,30066
85935,4735,57135
85936,4293,36903
85937,7638,49130
85938,2366,41141
85939,4400,52298
85940,1443,44653
85941,9941,30768
86001,40776,48200
86004,37338,55465
86011,6362,20417
86016,62,28750
86017,667,67628
86018,759,50833
86020,1941,25391
86021,6085,35541
86022,2210,39089
86023,2627,32500
86024,703,37500
86025,5676,46932
86029,320,23875
86030,1374,35714
86031,1856,26364
86032,1509,52750
86033,7844,20670
86034,2271,25375
86035,1802,25188
86036,388,34583
86038,77,90694
86039,1467,25573
86040,10283,59063
86042,1778,44219
86043,1798,20000
86044,4251,25313
86045,11354,47404
86046,6090,44066
86047,14970,37891
86052,28,30833
86053,2311,30000
86054,1935,27300
86301,20626,42903
86303,17082,45097
86305,17356,53144
86314,34401,39900
86315,7234,58643
86320,1885,24774
86321,2219,60233
86322,11480,37159
86323,15822,44353
86324,4168,41381
86325,5152,49531
86326,23344,41013
86327,8858,47737
86329,1179,43194
86331,477,24552
86332,1637,36351
86333,5734,28993
86334,4985,41361
86335,4806,42353
86336,11320,50067
86337,1267,33426
86338,743,38264
86343,177,36250
86351,6349,62038
86401,24289,45812
86403,15802,40172
86404,16243,41544
86406,23763,43797
86409,26471,32950
86411,224,36250
86413,12103,34928
86426,13863,44163
86429,7162,42261
86431,403,17917
86432,3933,34050
86433,111,23462
86434,1490,29583
86435,487,37083
86436,2104,27287
86437,76,22500
86438,913,27672
86440,6906,40960
86441,2224,25305
86442,33382,36398
86444,1289,26884
86445,311,22091
86502,1464,14297
86503,10714,31423
86504,6589,34210
86505,7682,24931
86506,1321,20833
86507,2340,20119
86508,752,19732
86510,5358,21667
86511,3694,28500
86512,2439,24958
86514,3317,19469
86515,4479,35000
86520,1793,14583
86535,1199,20357
86538,2338,31938
86540,1088,16813
86544,1267,26000
86545,1650,26667
86547,1171,23688
86556,2090,24250
87328,185,25903